EventDate,GroupName,SiteName,SiteID,site_latitude,site_longitude,site_altitude,air_temp,water_temp
2022-02-02 09:30:00,Anne Ledbetter,Poplar Creek,2500,33.8797,-84.4948,291.483276,17.0,9.0
2022-01-21 11:45:00,Creek Hoppers,Noses Creek,7350,33.9621,-84.6061,309.55,1.0,7.0
2022-01-31 12:45:00,Creek Hoppers,Noses Creek,7350,33.9621,-84.6061,309.55,11.0,7.0
2022-02-02 14:49:00,Fernandina Beach High School,Egan's Creek Greenway 1,5202,30.6666,-81.4406,-0.58,20.0,14.0
2022-02-02 14:54:00,Fernandina Beach High School,Egan's Creek Greenway 2,5203,30.6587,-81.4419,-0.41,18.0,16.0
2022-02-03 14:30:00,Ogeechee Riverkeeper,Ogeechee River at Warnell Dr. East Dock,5555,31.8961,-81.2238,0.0,18.5,9.5
2022-02-05 12:15:00,BBECA,843 Indies Rd,5341,24.65,-81.4069,0.62,25.5,24.0
2022-02-01 10:30:00,Yellow River Water Trail-Gwinnett,Yellow River-Ross Rd/Vecoma,3838,33.8301,-84.0814,243.51,15.5,7.0
2022-02-06 13:30:00,Hiwassee River Watershed Coalition,Tusquitee Creek at the old ford,4725,35.0766,-83.7761,567.85,7.0,6.7
2022-02-05 14:46:00,Donna-n-Carmen,Creek,2613,33.911,-84.5665,297.911133,44.0,37.0
2022-02-05 13:30:00,Birdsong Subdivision,Cobbs Creek at Alverado Way,7342,33.7484,-84.2546,275.44,5.5,8.5
2022-02-05 10:20:00,Middle Savannah River Sentinels,Upper Reed Creek,4871,33.5103,-82.1122,94.74,13.0,10.8
2022-02-07 15:15:00,Roberts Rockets,Tributary off Possum Creek  Mount Tabor Park,6899,33.9466,-84.7761,342.62,9.5,8.5
2022-02-07 14:30:00,Noses,Noses Creek at pedestrian bridge,4991,33.9534,-84.5967,319.11,8.5,9.5
2022-01-11 01:30:00,Friends School of Atlanta 5th Grade,Unnamed Tributary to Shoal Creek,4459,33.761,-84.2758,288.79,11.0,9.0
